target,method,n,mean_final_hv,sd_final_hv,mean_delta_vs_greedy_final_hv,sd_delta_vs_greedy_final_hv,beats_greedy_n,sem_delta_vs_greedy_final_hv
ESR2,analytic_ehvi,5,194.62958679199218,2.19121262910774,5.915521240234409,2.5515954841029473,5,1.1411081907071348
ESR2,analytic_pomhi,5,194.11549682617186,1.6270799153603237,5.401431274414063,2.6132784770772997,5,1.1686936637763936
ESR2,greedy_mean,5,188.71406555175778,1.5304844907146744,0.0,0.0,0,0.0
ESR2,qnehvi_mc,5,194.09569702148437,1.698768036893753,5.38163146972658,2.048229028929002,5,0.9159958684347262
ESR2,qnparego_mc,5,192.28140869140626,2.4530547755785643,3.56734313964846,2.5521373179521993,4,1.1413505061710223
ESR2,random,5,184.5899200439453,4.261710590725475,-4.124145507812477,4.298571931917729,1,1.9223798091881277
F2,analytic_ehvi,5,196.7343536376953,0.5610966603694147,2.6002319335937387,1.8337468339773118,5,0.8200765148596579
F2,analytic_pomhi,5,196.5679901123047,0.3719033941618135,2.4338684082031308,1.7347704761643759,5,0.7758129420126446
F2,greedy_mean,5,194.13412170410157,1.8487111075222507,0.0,0.0,0,0.0
F2,qnehvi_mc,5,196.81061401367188,0.57895337720893,2.676492309570307,1.8378432155318032,5,0.8219084723831818
F2,qnparego_mc,5,193.18394165039064,0.6274493403805146,-0.9501800537109432,1.6146559127025635,2,0.7220960762149796
F2,random,5,183.533837890625,1.259509901060777,-10.600283813476569,2.9230980939488105,0,1.3072492085939214
JAK2,analytic_ehvi,5,208.62966918945312,0.6386379329895606,1.0075347900390739,1.7143843086468584,4,0.7666959707386711
JAK2,analytic_pomhi,5,208.6999755859375,0.6570343548135062,1.0778411865234432,1.9035777808084013,4,0.851305863669156
JAK2,greedy_mean,5,207.62213439941405,2.2393570928799416,0.0,0.0,0,0.0
JAK2,qnehvi_mc,5,208.74728698730468,1.8176090034446633,1.1251525878906192,1.8206033902089145,4,0.8141985881147416
JAK2,qnparego_mc,5,207.5787322998047,1.8442086723032374,-0.04340209960936932,0.5294506943928251,2,0.23677754867936474
JAK2,random,5,197.85027465820312,3.2635824193407483,-9.771859741210937,3.4907071095264612,0,1.561091677288594
KIT,analytic_ehvi,5,205.49739990234374,2.995870176614959,4.688003540039068,1.6148953803890016,5,0.7222031694200376
KIT,analytic_pomhi,5,204.47684326171876,3.145258680581884,3.6674468994140623,1.71256710285885,5,0.7658832916044526
KIT,greedy_mean,5,200.80939636230468,2.0676955777886477,0.0,0.0,0,0.0
KIT,qnehvi_mc,5,205.2396209716797,2.923679764347412,4.4302246093750055,1.7039993728709326,5,0.7620516862712833
KIT,qnparego_mc,5,201.80953979492188,3.5625913731571113,1.0001434326172045,3.631516740593941,3,1.6240636586793042
KIT,random,5,194.09083251953126,1.6741313315220623,-6.718563842773409,2.2649920674295387,0,1.012935246254047
PARP1,analytic_ehvi,5,224.9553985595703,2.251183786287055,1.305392456054682,1.2264967986599828,5,0.5485060431979188
PARP1,analytic_pomhi,5,225.56195068359375,1.5687989110628324,1.911944580078125,1.9184438275363336,4,0.857954161877225
PARP1,greedy_mean,5,223.65000610351564,2.1519750660048906,0.0,0.0,0,0.0
PARP1,qnehvi_mc,5,224.95790100097656,2.2921798666902142,1.307894897460932,1.1063286243574144,5,0.4947652019034016
PARP1,qnparego_mc,5,223.57432861328124,2.6269944699439067,-0.075677490234375,1.0868090124895982,2,0.48603576609723187
PARP1,random,5,214.76278991699218,3.561831335761599,-8.887216186523432,2.330087859712172,0,1.042046969572682
