seed,target,method,round,candidate_n,selected_n,init_pool_n,hv,best_dock,mean_selected_dock,threshold_rate,train_seconds,score_seconds,labeled_n,unlabeled_n,candidate_test_n,candidate_test_rmse,candidate_test_mae,candidate_test_r2,candidate_test_nll,candidate_test_spearman,candidate_test_kendall,candidate_test_cov1,candidate_test_cov2,candidate_test_mean_std,candidate_test_std_error_spearman,source_path,greedy_final_hv,greedy_round_hv,delta_vs_greedy_final_hv,delta_vs_greedy_round_hv
42,ESR2,greedy_mean,10,2000,100,500,190.29391479492188,-11.7,-8.947000000000001,0.01,280.13810730725527,7.541121918708086,1500,239651,2000,0.7562913537000512,0.5937980144023896,0.3172651400039767,1.1190219674006054,0.5357778979517763,0.3830908996028787,0.691,0.96,0.7620775124132633,0.1794510224973439,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,190.29391479492188,0.0,0.0
42,ESR2,analytic_ehvi,10,2000,100,500,196.3111724853516,-11.7,-8.656,0.0,264.5694239549339,3.1489326246082783,1500,239651,2000,0.7566502462210287,0.5865893005371093,0.3166170126068078,1.1140075529688411,0.5493286117695049,0.3951883706584293,0.731,0.9655,0.796954130411148,0.2166820981705245,runs/dockstring_full_nig/seed42/ESR2/analytic_ehvi/trajectory.csv,190.29391479492188,190.29391479492188,6.017257690429716,6.017257690429716
42,ESR2,analytic_pomhi,10,2000,100,500,194.0295562744141,-11.7,-8.527000000000001,0.03,267.1025594584644,16.363533664494753,1500,239651,2000,0.7519402399060154,0.5906906793117523,0.3250983953341974,1.1200987221359036,0.5580930155799477,0.3995790758129082,0.699,0.9625,0.770085924744606,0.137807740451935,runs/dockstring_full_nig/seed42/ESR2/analytic_pomhi/trajectory.csv,190.29391479492188,190.29391479492188,3.735641479492216,3.735641479492216
42,ESR2,qnehvi_mc,10,2000,100,500,195.61558532714844,-11.7,-8.5,0.02,265.1272116601467,9.18975706771016,1500,239651,2000,0.7723699488114446,0.5957947832107544,0.2879269593666194,1.1317921408685574,0.5509771173768359,0.3941144289502283,0.6965,0.949,0.7607874054014683,0.2086667966666991,runs/dockstring_full_nig/seed42/ESR2/qnehvi_mc/trajectory.csv,190.29391479492188,190.29391479492188,5.3216705322265625,5.3216705322265625
42,ESR2,qnparego_mc,10,2000,100,500,194.88011169433597,-11.7,-8.328999999999999,0.0,261.868834041059,3.1820378452539444,1500,239651,2000,0.7503359823840694,0.5790538806915283,0.3279751159463344,1.1070427899439772,0.5696716980738428,0.4119491951332161,0.668,0.936,0.7097564392834902,0.2030564234163981,runs/dockstring_full_nig/seed42/ESR2/qnparego_mc/trajectory.csv,190.29391479492188,190.29391479492188,4.586196899414091,4.586196899414091
42,ESR2,random,10,2000,100,500,181.59127807617188,-11.2,-7.786000000000001,0.0,128.37778175622225,3.0565445758402348,1500,239651,2000,0.7666434844633159,0.5990681083202362,0.2984466454266117,1.1226977133089773,0.5243632752278906,0.3758196501302068,0.699,0.958,0.7795394830107689,0.2268921102230275,runs/dockstring_full_nig/seed42/ESR2/random/trajectory.csv,190.29391479492188,190.29391479492188,-8.70263671875,-8.70263671875
42,F2,greedy_mean,10,2000,100,500,195.3755645751953,-12.0,-9.717,0.02,279.94035167619586,7.917307671159506,1500,239650,2000,0.5121084922626022,0.4046217250823974,0.7146711436032265,0.7463887940448087,0.829224324018577,0.6494904080895767,0.665,0.945,0.4919587545990944,0.0760370455092613,runs/dockstring_full_nig/seed42/F2/greedy_mean/trajectory.csv,195.3755645751953,195.3755645751953,0.0,0.0
42,F2,analytic_ehvi,10,2000,100,500,197.5277862548828,-12.0,-9.206,0.04,266.6764969602227,3.2357925698161125,1500,239650,2000,0.507876915524548,0.3970365067958831,0.7193670336549207,0.7550694838595029,0.8291180491670338,0.6500324750415214,0.6455,0.9275,0.459602251932025,0.1576773207284592,runs/dockstring_full_nig/seed42/F2/analytic_ehvi/trajectory.csv,195.3755645751953,195.3755645751953,2.1522216796875,2.1522216796875
42,F2,analytic_pomhi,10,2000,100,500,197.0525054931641,-12.0,-9.059,0.01,208.96498581394556,17.4178598895669,1500,239650,2000,0.5304407125670031,0.4186704939842224,0.693877367220693,0.7751864070974183,0.8216205899308713,0.6426736879830904,0.676,0.947,0.5084932270795107,0.1294995428748857,runs/dockstring_full_nig/seed42/F2/analytic_pomhi/trajectory.csv,195.3755645751953,195.3755645751953,1.6769409179687784,1.6769409179687784
42,F2,qnehvi_mc,10,2000,100,500,197.656005859375,-12.0,-8.911999999999999,0.02,260.3372124917805,10.33116725832224,1500,239650,2000,0.502486433353603,0.392534690952301,0.7252925600615066,0.7127620309855645,0.8365850758514168,0.6596089991421032,0.6855,0.948,0.4899075780063867,0.1437599797439049,runs/dockstring_full_nig/seed42/F2/qnehvi_mc/trajectory.csv,195.3755645751953,195.3755645751953,2.2804412841796875,2.2804412841796875
42,F2,qnparego_mc,10,2000,100,500,193.48887634277344,-11.8,-9.318,0.02,265.1104859560728,3.1757837757468224,1500,239650,2000,0.5201392063414515,0.4091796539306641,0.7056521136913034,0.7573066533803435,0.8226876923956952,0.6440926952828612,0.662,0.937,0.48881684114784,0.1264311406077851,runs/dockstring_full_nig/seed42/F2/qnparego_mc/trajectory.csv,195.3755645751953,195.3755645751953,-1.886688232421875,-1.886688232421875
42,F2,random,10,2000,100,500,183.043701171875,-11.8,-8.134,0.0,257.68217526748776,3.1846980080008507,1500,239650,2000,0.501392397447152,0.390131083536148,0.7264874684562141,0.7055922875957078,0.8318951770963819,0.6542156922402805,0.701,0.9615,0.5133468254804611,0.1786710026677506,runs/dockstring_full_nig/seed42/F2/random/trajectory.csv,195.3755645751953,195.3755645751953,-12.331863403320312,-12.331863403320312
42,JAK2,greedy_mean,10,2000,100,500,205.0578155517578,-12.5,-9.83,0.05,273.241833537817,3.072513997554779,1500,239653,2000,0.5876407649850347,0.4471676424503327,0.6338712092674212,0.8392603821416676,0.7991148858355933,0.6185484076338611,0.704,0.9585,0.5862927423268557,0.181751206324115,runs/dockstring_full_nig/seed42/JAK2/greedy_mean/trajectory.csv,205.0578155517578,205.0578155517578,0.0,0.0
42,JAK2,analytic_ehvi,10,2000,100,500,208.28294372558597,-12.5,-9.518,0.14,271.398394305259,3.171446532011032,1500,239653,2000,0.5516574290085008,0.429474011182785,0.6773371299482611,0.8197153514333395,0.8179109824386138,0.6361683150467425,0.694,0.952,0.5592790768295527,0.0946048826512206,runs/dockstring_full_nig/seed42/JAK2/analytic_ehvi/trajectory.csv,205.0578155517578,205.0578155517578,3.2251281738281534,3.2251281738281534
42,JAK2,analytic_pomhi,10,2000,100,500,208.85585021972656,-12.5,-9.481,0.11,271.3714470937848,17.528225261718035,1500,239653,2000,0.5468442555240492,0.4232985061645508,0.6829429905364729,0.7852493813695102,0.8200549734614809,0.6397016625434668,0.714,0.963,0.567889841452241,0.1378289249572312,runs/dockstring_full_nig/seed42/JAK2/analytic_pomhi/trajectory.csv,205.0578155517578,205.0578155517578,3.79803466796875,3.79803466796875
42,JAK2,qnehvi_mc,10,2000,100,500,208.81195068359372,-12.5,-9.389,0.09,265.8643883988261,11.050558000802994,1500,239653,2000,0.5590027179441847,0.4375097562313079,0.6686874483115237,0.8427219645049749,0.801895306999557,0.6190627091220003,0.6825,0.941,0.5605288886576891,0.1299822654955663,runs/dockstring_full_nig/seed42/JAK2/qnehvi_mc/trajectory.csv,205.0578155517578,205.0578155517578,3.754135131835909,3.754135131835909
42,JAK2,qnparego_mc,10,2000,100,500,205.7821502685547,-12.5,-9.541,0.07,264.74927289783955,3.134783875197172,1500,239653,2000,0.5650318426706096,0.4339431729316711,0.6615021635676928,0.8273811174224508,0.8041373511322742,0.625543508695595,0.682,0.935,0.5495323010832072,0.1584712536178134,runs/dockstring_full_nig/seed42/JAK2/qnparego_mc/trajectory.csv,205.0578155517578,205.0578155517578,0.724334716796875,0.724334716796875
42,JAK2,random,10,2000,100,500,201.28570556640625,-12.3,-8.38,0.03,258.7412871979177,2.995828077197075,1500,239653,2000,0.5354790161439884,0.4093332396030426,0.6959850337357324,0.7474328329446016,0.8154466552421052,0.6400054507028149,0.7525,0.9765,0.5900417594313622,0.2327249570185111,runs/dockstring_full_nig/seed42/JAK2/random/trajectory.csv,205.0578155517578,205.0578155517578,-3.7721099853515625,-3.7721099853515625
