record_id,input_smiles,source_name
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,ChEMBL max_phase=4 local paged JSON
CHEMBL3,CN1CCC[C@H]1c1cccnc1,ChEMBL max_phase=4 local paged JSON
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ChEMBL max_phase=4 local paged JSON
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,ChEMBL max_phase=4 local paged JSON
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,ChEMBL max_phase=4 local paged JSON
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,ChEMBL max_phase=4 local paged JSON
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,ChEMBL max_phase=4 local paged JSON
CHEMBL405,CC(N)Cc1ccccc1,ChEMBL max_phase=4 local paged JSON
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],ChEMBL max_phase=4 local paged JSON
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,ChEMBL max_phase=4 local paged JSON
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,ChEMBL max_phase=4 local paged JSON
CHEMBL406,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,ChEMBL max_phase=4 local paged JSON
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,ChEMBL max_phase=4 local paged JSON
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,ChEMBL max_phase=4 local paged JSON
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C,ChEMBL max_phase=4 local paged JSON
CHEMBL14,C[N+](C)(C)CCOC(N)=O.[Cl-],ChEMBL max_phase=4 local paged JSON
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,ChEMBL max_phase=4 local paged JSON
CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,ChEMBL max_phase=4 local paged JSON
CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,ChEMBL max_phase=4 local paged JSON
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,ChEMBL max_phase=4 local paged JSON
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,ChEMBL max_phase=4 local paged JSON
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,ChEMBL max_phase=4 local paged JSON
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,ChEMBL max_phase=4 local paged JSON
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,ChEMBL max_phase=4 local paged JSON
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,ChEMBL max_phase=4 local paged JSON
CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL420,N=C(N)N/N=C/c1c(Cl)cccc1Cl,ChEMBL max_phase=4 local paged JSON
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,ChEMBL max_phase=4 local paged JSON
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,ChEMBL max_phase=4 local paged JSON
CHEMBL421,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,ChEMBL max_phase=4 local paged JSON
CHEMBL6466,O=c1ccc2ccccc2o1,ChEMBL max_phase=4 local paged JSON
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,ChEMBL max_phase=4 local paged JSON
CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL425,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,ChEMBL max_phase=4 local paged JSON
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,ChEMBL max_phase=4 local paged JSON
CHEMBL6995,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL427,CN(CCCl)CCCl,ChEMBL max_phase=4 local paged JSON
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,ChEMBL max_phase=4 local paged JSON
CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,ChEMBL max_phase=4 local paged JSON
CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,ChEMBL max_phase=4 local paged JSON
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ChEMBL max_phase=4 local paged JSON
CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ChEMBL max_phase=4 local paged JSON
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ChEMBL max_phase=4 local paged JSON
CHEMBL430,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,ChEMBL max_phase=4 local paged JSON
CHEMBL431,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,ChEMBL max_phase=4 local paged JSON
CHEMBL433,CCCC(CCC)C(=O)[O-].[Na+],ChEMBL max_phase=4 local paged JSON
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,ChEMBL max_phase=4 local paged JSON
CHEMBL435,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,ChEMBL max_phase=4 local paged JSON
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,ChEMBL max_phase=4 local paged JSON
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL436,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,ChEMBL max_phase=4 local paged JSON
CHEMBL437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,ChEMBL max_phase=4 local paged JSON
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,ChEMBL max_phase=4 local paged JSON
CHEMBL440,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL441,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL268164,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL442,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,ChEMBL max_phase=4 local paged JSON
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,ChEMBL max_phase=4 local paged JSON
CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,ChEMBL max_phase=4 local paged JSON
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,ChEMBL max_phase=4 local paged JSON
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,ChEMBL max_phase=4 local paged JSON
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,ChEMBL max_phase=4 local paged JSON
