metric,TCM,ZINC,DrugBank
N molecules,34354,10000,2975
MolWt: median (IQR),331.37 (234.34-428.75),333.39 (290.39-367.99),362.35 (274.60-466.49)
cLogP: median (IQR),2.84 (1.35-4.31),2.59 (1.55-3.49),2.48 (0.59-3.91)
HBD: median (IQR),2 (0-3),1 (1-2),2 (1-3)
HBA: median (IQR),4 (2-6),4 (3-5),4 (3-6)
QED: median (IQR),0.50 (0.37-0.64),0.76 (0.65-0.84),0.54 (0.34-0.70)
SA: median (IQR),3.94 (2.89-4.84),2.88 (2.42-3.53),3.14 (2.58-3.96)
HeavyAtomCount: median (IQR),24 (17-31),23 (20-26),25 (19-32)
NumRings: median (IQR),3 (2-4),3 (2-3),3 (2-4)
TPSA: median (IQR),66.76 (37.30-104.06),64.34 (49.33-79.46),80.26 (46.53-118.50)
N unique Bemis-Murcko scaffolds,7038,7836,1207
Unique scaffold ratio (unique scaffolds / N molecules),0.205,0.784,0.406
KS-statistic vs TCM (MolWt),-,0.197,0.111
KS-statistic vs TCM (cLogP),-,0.176,0.088
KS-statistic vs TCM (QED),-,0.517,0.094
KS-statistic vs TCM (SA),-,0.365,0.258
FCD vs TCM,-,30.739,18.973
