dataset,record_id,input_smiles,smiles,MolWt,cLogP,HBD,HBA,QED,SA,HeavyAtomCount,NumRings,NumAromaticRings,TPSA,NumRotatableBonds,BertzCT,BemisMurckoScaffold
ZINC,,CC1(C)[C@@H](C(=O)Nc2ccc(NC(=O)C3CCC3)cc2)[C@H]1C(=O)[O-],CC1(C)[C@H](C(=O)[O-])[C@@H]1C(=O)Nc1ccc(NC(=O)C2CCC2)cc1,329.37600000000003,1.3858,2,4,0.8525013737669295,3.127142943661031,24,3,1,98.33000000000001,5,676.764105394625,O=C(Nc1ccc(NC(=O)C2CC2)cc1)C1CCC1
ZINC,,COCCC[NH+]1CC[C@@H](CNc2nnc(C)o2)C1,COCCC[NH+]1CC[C@@H](CNc2nnc(C)o2)C1,255.342,-0.2687799999999987,2,5,0.6567805630078927,4.8249312461363,18,2,1,64.62,7,355.6015389256826,c1nnc(NCC2CC[NH2+]C2)o1
ZINC,,CCc1nn(C)c(N2CCC[C@H](Nc3ccccc3)C2)c1[N+](=O)[O-],CCc1nn(C)c(N2CCC[C@H](Nc3ccccc3)C2)c1[N+](=O)[O-],329.4040000000001,2.9716000000000014,1,6,0.6739657475255347,2.884907594366391,24,3,2,76.23,5,713.2710231067887,c1ccc(NC2CCCN(c3ccn[nH]3)C2)cc1
ZINC,,O=[N+]([O-])/N=c1/nc(N2CCC[NH2+]CC2)cc(-c2ccccn2)[n-]1,O=[N+]([O-])/N=c1/nc(N2CCC[NH2+]CC2)cc(-c2ccccn2)[n-]1,315.337,-1.0332999999999979,1,5,0.5716429945576439,4.493067212698289,23,3,2,115.22999999999999,3,736.2910437726964,N=c1nc(N2CCC[NH2+]CC2)cc(-c2ccccn2)[n-]1
ZINC,,C[C@@H](CNC(=O)c1cccc(NC(=O)C2CC2)c1)Oc1ccc(F)cc1,C[C@@H](CNC(=O)c1cccc(NC(=O)C2CC2)c1)Oc1ccc(F)cc1,356.39700000000005,3.371500000000002,2,3,0.7992327942983685,2.321853740572694,26,3,2,67.43,7,787.8982325727784,O=C(NCCOc1ccccc1)c1cccc(NC(=O)C2CC2)c1
ZINC,,Cc1ccccc1-c1nc2ccccc2n1C[C@@H](C)O,Cc1ccccc1-c1nc2ccccc2n1C[C@@H](C)O,266.344,3.3925200000000024,1,3,0.7887477678642625,2.3783427529504717,20,3,3,38.05,3,743.5847480272607,c1ccc(-c2nc3ccccc3[nH]2)cc1
ZINC,,COc1ccc([C@@H](NC(=O)N2CCc3ccc(C)cc32)C2CCOCC2)cc1,COc1ccc([C@@H](NC(=O)N2CCc3ccc(C)cc32)C2CCOCC2)cc1,380.48800000000017,4.2436200000000035,1,3,0.8629586567260422,2.7960610429324504,28,4,2,50.8,4,828.2411222113632,O=C(NC(c1ccccc1)C1CCOCC1)N1CCc2ccccc21
ZINC,,Cc1c(C(=O)O[C@H](CC(C)C)c2ccccn2)cnn1C(C)C,Cc1c(C(=O)O[C@H](CC(C)C)c2ccccn2)cnn1C(C)C,315.41700000000003,4.111620000000003,0,5,0.7526789524134798,3.0641175691679177,23,2,2,57.01,6,647.5412387137328,O=C(OCc1ccccn1)c1cn[nH]c1
ZINC,,Cc1ccccc1NC(=O)/C=C/c1ccc(Br)s1,Cc1ccccc1NC(=O)/C=C/c1ccc(Br)s1,322.227,4.470920000000002,1,2,0.8300593393486023,2.0394706296118237,18,2,2,29.1,3,588.9848569747639,O=C(C=Cc1cccs1)Nc1ccccc1
ZINC,,CCCNC(=O)[C@@]1(Cc2ccccc2-c2cccc(C)c2)CCN(C(=O)c2ccncc2)C1,CCCNC(=O)[C@@]1(Cc2ccccc2-c2cccc(C)c2)CCN(C(=O)c2ccncc2)C1,441.5750000000003,4.6582200000000045,1,3,0.5801444488988848,2.892887436155535,33,4,3,62.300000000000004,7,1128.7511160230881,O=C(c1ccncc1)N1CCC(Cc2ccccc2-c2ccccc2)C1
ZINC,,O=C(CN1CCCCCC1=O)Nc1cccc(-c2ccn[nH]2)c1,O=C(CN1CCCCCC1=O)Nc1cccc(-c2ccn[nH]2)c1,312.373,2.4178000000000006,2,3,0.9098039768049194,2.203322551389448,23,3,2,78.09,4,681.6616311073007,O=C(CN1CCCCCC1=O)Nc1cccc(-c2ccn[nH]2)c1
ZINC,,C[C@H]1C[C@@H](C)C[NH+](Cc2ccccc2CNC(=O)[C@@H]2CCS(=O)(=O)C2)C1,C[C@@H]1C[C@H](C)C[NH+](Cc2ccccc2CNC(=O)[C@@H]2CCS(=O)(=O)C2)C1,379.5460000000002,0.7983000000000011,2,3,0.7951930890501814,4.481501339513744,26,3,1,67.68,5,737.1781183208412,O=C(NCc1ccccc1C[NH+]1CCCCC1)C1CCS(=O)(=O)C1
ZINC,,C[C@H]1C=N[C@H](NC(=O)[C@@H]2CCCN(C(=O)CCC3=c4ccccc4=[NH+]C3)C2)S1,C[C@H]1C=N[C@H](NC(=O)[C@@H]2CCCN(C(=O)CCC3=c4ccccc4=[NH+]C3)C2)S1,399.54,-0.8241999999999967,2,4,0.6791526605230198,4.814832489920184,28,4,1,75.74000000000001,5,913.2258190771278,O=C(NC1N=CCS1)C1CCCN(C(=O)CCC2=c3ccccc3=[NH+]C2)C1
ZINC,,CC1CCN(/C(N)=[NH+]/Cc2ccc([S@@](C)=O)cc2)CC1,CC1CCN(/C(N)=[NH+]/Cc2ccc([S@@](C)=O)cc2)CC1,294.4440000000001,0.051200000000001245,2,1,0.611692389999742,3.807248261915192,20,2,1,60.3,3,490.3450193105293,C(=[NH+]Cc1ccccc1)N1CCCCC1
ZINC,,COc1ccc(OC)c(N2C(=O)NC(=O)/C(=C/c3cc(Br)c(O)c(OC)c3)C2=O)c1,COc1ccc(OC)c(N2C(=O)NC(=O)/C(=C/c3cc(Br)c(O)c(OC)c3)C2=O)c1,477.26700000000017,2.8469000000000007,2,7,0.5030089280062376,2.4357295674473853,30,3,2,114.4,5,1081.0649327542621,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1ccccc1
ZINC,,O=C(Nc1ccnn1C1CCCC1)c1cc(Br)c[nH]1,O=C(Nc1ccnn1C1CCCC1)c1cc(Br)c[nH]1,323.19399999999996,3.3411000000000017,2,3,0.9098390744915279,2.5159806917762655,19,3,2,62.71,3,582.9874638032361,O=C(Nc1ccnn1C1CCCC1)c1ccc[nH]1
ZINC,,CC[C@@](C)([NH2+]CC(=O)Nc1ccc2c(c1)OCO2)c1nc(C)cs1,CC[C@@](C)([NH2+]CC(=O)Nc1ccc2c(c1)OCO2)c1nc(C)cs1,348.44800000000004,2.0075200000000004,2,5,0.837110792179072,3.6978173228731785,24,3,2,77.06,6,746.4320397677808,O=C(C[NH2+]Cc1nccs1)Nc1ccc2c(c1)OCO2
ZINC,,CCOc1cccc([C@@H]2C(C(=O)c3ccc(Cl)cc3)=C([O-])C(=O)N2c2nnc(C)s2)c1,CCOc1cccc([C@@H]2C(C(=O)c3ccc(Cl)cc3)=C([O-])C(=O)N2c2nnc(C)s2)c1,454.91500000000013,3.4838200000000024,0,7,0.5289352521796769,3.167457702903719,31,4,3,95.45,6,1189.4765126084637,O=C(C1=CC(=O)N(c2nncs2)C1c1ccccc1)c1ccccc1
ZINC,,CC(C)C(=O)Nc1ccc(C(=O)N/N=C/c2ccc(Br)cc2)cc1,CC(C)C(=O)Nc1ccc(C(=O)N/N=C/c2ccc(Br)cc2)cc1,388.26500000000004,3.807500000000002,2,3,0.6042263328515842,1.8814178786168831,24,2,2,70.56,5,737.8641193897471,O=C(NN=Cc1ccccc1)c1ccccc1
ZINC,,CCOc1ccc(NC(=O)[C@@H](C)O)c([N+](=O)[O-])c1,CCOc1ccc(NC(=O)[C@@H](C)O)c([N+](=O)[O-])c1,254.242,1.3127999999999997,2,5,0.6089577875419419,2.431570419988196,18,1,1,101.7,5,458.7468361166746,c1ccccc1
