seed,start_hv,final_hv,hv_gain,final_budget,method
7,180.05233764648438,191.22755432128903,11.175216674804659,797.0,Independent-marginal PoMHI
123,180.7662811279297,199.98910522460935,19.22282409667966,797.0,Independent-marginal PoMHI
314,180.04954528808594,194.33604431152344,14.2864990234375,798.0,Independent-marginal PoMHI
2025,180.05233764648438,195.1512756347656,15.098937988281222,798.0,Independent-marginal PoMHI
2718,184.37210083007807,198.33767700195312,13.965576171875057,817.0,Independent-marginal PoMHI
7,180.05233764648438,180.68768310546875,0.635345458984375,798.0,JANUS
123,180.7662811279297,181.53602600097656,0.769744873046875,796.0,JANUS
314,180.04954528808594,182.30105590820312,2.2515106201171875,798.0,JANUS
2025,180.05233764648438,181.186767578125,1.134429931640625,796.0,JANUS
2718,184.37210083007807,186.76683044433597,2.3947296142578978,815.0,JANUS
7,180.05233764648438,180.83322143554688,0.7808837890625,798.0,GraphGA
123,180.7662811279297,181.6015625,0.8352813720703125,798.0,GraphGA
314,180.04954528808594,181.50445556640625,1.4549102783203125,798.0,GraphGA
2025,180.05233764648438,182.2452392578125,2.192901611328125,798.0,GraphGA
2718,184.37210083007807,185.12213134765625,0.7500305175781818,817.0,GraphGA
7,180.05233764648438,180.0523681640625,3.0517578125e-05,789.0,VAE+BO
123,180.7662811279297,180.7777404785156,0.011459350585909078,790.0,VAE+BO
314,180.04954528808594,180.0762176513672,0.02667236328125,792.0,VAE+BO
2025,180.05233764648438,180.353515625,0.301177978515625,795.0,VAE+BO
2718,184.37210083007807,185.94615173339844,1.5740509033203693,811.0,VAE+BO
