method,smiles,dock,qed,sa,on_front_dock_qed,on_front_dock_sa
Independent-marginal PoMHI,C1CCCCCCCCCCCCCC1,-8.316,0.4701222388823993,1.0,False,True
Independent-marginal PoMHI,COc1cc(C2OC3C(c4ccc5c(c4)OCO5)OCC23)ccc1O,-9.868,0.9250408896912956,3.8054623907578105,True,False
Independent-marginal PoMHI,COc1cc(CC2COc3cc(C)ccc3C2=O)ccc1O,-9.018,0.945493915189192,2.729960671282294,True,False
Independent-marginal PoMHI,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc3c(c2)OCO3)ccc1O,-10.332,0.9109970994259012,3.727559819354018,True,False
Independent-marginal PoMHI,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccccc2)ccc1O,-9.714,0.9424602666753328,3.504096173925888,True,False
Independent-marginal PoMHI,COc1cc2c(cc1O)CCN1CCc3cc4c(cc3CC1C2)OCO4,-11.162,0.8542900745408474,2.96893195309557,True,False
Independent-marginal PoMHI,COc1cc2c(cc1O)C[C@H]1Cc3ccc4c(c3CN1CC2)OCO4,-10.681,0.8656046492841589,3.132472536811491,True,False
Independent-marginal PoMHI,COc1ccc2c(c1)OCC(c1ccc(OC)c(O)c1)C2=O,-9.454,0.943914308846856,2.6870889591234857,True,False
Independent-marginal PoMHI,COc1ccc2c3c(n(C)c2c1)C1(CC(C)(C)O)CC3CO1,-7.945,0.9472964215010776,4.578566831795053,True,False
Independent-marginal PoMHI,Cc1cccc2c3c(ccc12)C(=O)c1ccccc1C3=O,-10.084,0.4858969948208526,1.8981297742783223,False,True
Independent-marginal PoMHI,O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,-9.711,0.7199580997445955,1.7595162875012953,False,True
Independent-marginal PoMHI,O=C(OCc1ccccc1)c1ccccc1C(=O)c1ccccc1,-9.595,0.521206781026279,1.562676760033975,False,True
Independent-marginal PoMHI,O=C(c1ccccc1)c1ccc(Oc2ccccc2)cc1,-9.119,0.6439294662191006,1.409201684948297,False,True
Independent-marginal PoMHI,O=C1C(=O)c2c(O)cc(O)cc2C(=O)c2ccccc21,-10.087,0.7094795864367645,2.1698581730138145,False,True
