method,metric,iter,mean,sd
Independent-marginal PoMHI,spearman,0,0.8731254946498938,0.020969184818486784
Independent-marginal PoMHI,spearman,1,0.8721377788963283,0.022305872494982882
Independent-marginal PoMHI,spearman,2,0.8686230258478649,0.018980070263397503
Independent-marginal PoMHI,spearman,3,0.8722547199119826,0.01890407657583928
Independent-marginal PoMHI,spearman,4,0.8708265818070527,0.02009428054639998
Independent-marginal PoMHI,spearman,5,0.8725972972389695,0.022158741032894464
Independent-marginal PoMHI,spearman,6,0.8670152342258485,0.020624384878472124
Independent-marginal PoMHI,spearman,7,0.8699789874809639,0.021735810296813804
Independent-marginal PoMHI,spearman,8,0.8716558845803423,0.020230605434509448
Independent-marginal PoMHI,spearman,9,0.8735233879226618,0.020050312806913263
Independent-marginal PoMHI,spearman,10,0.8718171814755158,0.017534292031177342
Independent-marginal PoMHI,rmse,0,0.6807358678358938,0.06893013597667089
Independent-marginal PoMHI,rmse,1,0.6773474751102084,0.056307212174884665
Independent-marginal PoMHI,rmse,2,0.6772661007159917,0.05519066479403098
Independent-marginal PoMHI,rmse,3,0.6719588503155469,0.04325391130915806
Independent-marginal PoMHI,rmse,4,0.6641384168739866,0.04652705150043329
Independent-marginal PoMHI,rmse,5,0.6608018259471873,0.04476786824834444
Independent-marginal PoMHI,rmse,6,0.671829538431188,0.041023755370255696
Independent-marginal PoMHI,rmse,7,0.6683702563983632,0.04690914171877007
Independent-marginal PoMHI,rmse,8,0.6650293579836822,0.04739600722767179
Independent-marginal PoMHI,rmse,9,0.6579292333012821,0.04788318649679069
Independent-marginal PoMHI,rmse,10,0.659877361347849,0.03562717419030154
Independent-marginal PoMHI,calgap,0,0.08617425833094948,0.07533266088631155
Independent-marginal PoMHI,calgap,1,0.08342167771002272,0.08349016346113736
Independent-marginal PoMHI,calgap,2,0.08513157283584606,0.06237188014774665
Independent-marginal PoMHI,calgap,3,0.07803506874984469,0.06262660424938685
Independent-marginal PoMHI,calgap,4,0.07201666153809957,0.05401450577827827
Independent-marginal PoMHI,calgap,5,0.07119232027995888,0.052203421129583975
