target,method,comparison_scope,n_runs,recovery_mean,recovery_ci95_low,recovery_ci95_high,hv_mean,hv_ci95_low,hv_ci95_high
ESR2,analytic_ehvi,shared_pool_direct,3,0.9638706879889144,0.9238121059473979,0.9937021102978986,195.13227335611978,192.71197509765625,196.4576568603516
ESR2,analytic_pomhi,shared_pool_direct,3,0.9598108014128425,0.9222613633569362,0.9832940044351046,194.95013936360678,192.63787841796875,196.21731567382804
ESR2,qpmhi_mc_bnn,legacy_context_only,3,0.742315663010266,0.5931088510391386,0.8973304397701328,186.86414591471353,185.6395568847656,188.6333465576172
ESR2,random,legacy_context_only,3,0.5609549250922212,0.5202321262970493,0.6017067243173286,181.12210591634116,178.81832885742188,184.79786682128903
F2,analytic_ehvi,shared_pool_direct,3,0.9827581476160444,0.9563681349529308,0.9965012075074174,197.4937744140625,196.2242889404297,198.58660888671875
F2,analytic_pomhi,shared_pool_direct,3,0.9871914155947357,0.9770269270441182,0.994902407009866,197.6838582356771,197.09344482421875,198.5198669433593
F2,qpmhi_mc_bnn,legacy_context_only,3,0.5948202352368354,0.5435680729588308,0.6275929580309835,188.77498881022134,188.0315704345703,190.1194000244141
F2,random,legacy_context_only,3,0.47337441338302305,0.4059326280259117,0.5778070922274609,185.86600748697913,182.8569183349609,188.1273498535156
JAK2,analytic_ehvi,shared_pool_direct,3,0.9767639099718485,0.9422110592015903,0.996663010916606,209.10400390625,208.896484375,209.4634704589844
JAK2,analytic_pomhi,shared_pool_direct,3,0.9746791389349704,0.939628688529072,0.9958527026377152,209.02660624186197,208.8498077392578,209.36257934570312
JAK2,qpmhi_mc_bnn,legacy_context_only,3,0.5439192107239881,0.4855256234623789,0.5772763762849135,197.60751851399735,195.90196228027344,200.5696716308593
JAK2,random,legacy_context_only,3,0.4121520503764371,0.3444990131729931,0.471372366236966,194.79021199544272,193.4663543701172,196.4656219482422
KIT,analytic_ehvi,shared_pool_direct,3,0.9904700427294717,0.9812553890855398,0.995893746912938,205.64723205566406,201.23838806152344,208.68722534179688
KIT,analytic_pomhi,shared_pool_direct,3,0.9837609774368715,0.9753863605487848,0.9974701450908855,205.3619639078776,201.0122833251953,207.9987945556641
KIT,qpmhi_mc_bnn,legacy_context_only,3,0.5937433562232277,0.5313214389188482,0.6691720378612022,187.9398193359375,186.2688446044922,189.6226043701172
KIT,random,legacy_context_only,3,0.6024572899985431,0.554497207668309,0.6760525996055963,188.146484375,187.31280517578125,189.81326293945312
PARP1,analytic_ehvi,shared_pool_direct,3,0.9680562669330119,0.9334792908534485,0.9856772385401918,224.6706441243489,222.9326019287109,227.8434600830078
PARP1,analytic_pomhi,shared_pool_direct,3,0.9576530779583693,0.913466898106182,0.979792157877446,224.2073211669922,222.0297698974609,227.5963592529297
PARP1,qpmhi_mc_bnn,legacy_context_only,3,0.7756384259729394,0.7160244378110393,0.8588734764288329,218.32011922200522,216.4374237060547,222.0736389160156
PARP1,random,legacy_context_only,3,0.6223444035144898,0.4134170211734487,0.7366680098617303,213.67447408040366,208.6138610839844,216.46128845214844
