target,src,round,rule,true_hv_gain,recall,diversity
ESR2,analytic_ehvi,1,greedy_mean,23.585433959960938,0.85,0.21301261028046647
ESR2,analytic_ehvi,1,analytic_ehvi,23.585433959960938,0.86,0.2105484523624947
ESR2,analytic_ehvi,1,analytic_pomhi,36.8583984375,0.81,0.21417940892693743
ESR2,analytic_ehvi,1,random,18.754043579101562,0.03,0.35355143669207223
ESR2,analytic_ehvi,2,greedy_mean,0.92620849609375,0.11,0.3820966785247791
ESR2,analytic_ehvi,2,analytic_ehvi,10.78851318359375,0.31,0.3363559014144653
ESR2,analytic_ehvi,2,analytic_pomhi,10.779769897460938,0.21,0.3382844724717554
ESR2,analytic_ehvi,2,random,0.059051513671875,0.02,0.39073403959736325
ESR2,analytic_ehvi,3,greedy_mean,0.1107330322265625,0.68,0.3328148904393222
ESR2,analytic_ehvi,3,analytic_ehvi,2.926177978515625,0.15,0.4574573309607591
ESR2,analytic_ehvi,3,analytic_pomhi,2.051239013671875,0.12,0.42594493509251613
ESR2,analytic_ehvi,3,random,0.0,0.01,0.2975692005601296
ESR2,analytic_ehvi,4,greedy_mean,0.0170440673828125,0.77,0.31953996711331045
ESR2,analytic_ehvi,4,analytic_ehvi,2.007904052734375,0.11,0.3619533237036177
ESR2,analytic_ehvi,4,analytic_pomhi,1.9940032958984375,0.08,0.33362491667187366
ESR2,analytic_ehvi,4,random,0.00311279296875,0.05,0.3461773783155595
ESR2,analytic_ehvi,5,greedy_mean,0.147186279296875,0.85,0.36099092809462197
ESR2,analytic_ehvi,5,analytic_ehvi,1.6820068359375,0.14,0.4680916063520951
ESR2,analytic_ehvi,5,analytic_pomhi,1.6800537109375,0.13,0.46416367013838866
ESR2,analytic_ehvi,5,random,0.0034332275390625,0.07,0.38804375105776634
ESR2,analytic_ehvi,6,greedy_mean,0.165557861328125,0.73,0.3640134045356396
ESR2,analytic_ehvi,6,analytic_ehvi,0.1656646728515625,0.12,0.43153239926228854
ESR2,analytic_ehvi,6,analytic_pomhi,0.1528167724609375,0.1,0.4284578029576675
ESR2,analytic_ehvi,6,random,0.0,0.01,0.39727357302539973
ESR2,analytic_ehvi,7,greedy_mean,0.01580810546875,0.91,0.35396893116724887
ESR2,analytic_ehvi,7,analytic_ehvi,0.0224761962890625,0.11,0.39704067214642
ESR2,analytic_ehvi,7,analytic_pomhi,0.0167694091796875,0.1,0.4191691032971937
ESR2,analytic_ehvi,7,random,0.0,0.05,0.37655094057350774
ESR2,analytic_ehvi,8,greedy_mean,0.095489501953125,0.89,0.34454257310033504
ESR2,analytic_ehvi,8,analytic_ehvi,0.100372314453125,0.08,0.43447284800970387
ESR2,analytic_ehvi,8,analytic_pomhi,0.100372314453125,0.08,0.4318631501148147
ESR2,analytic_ehvi,8,random,0.0012054443359375,0.07,0.4035169649080405
