target,seed,method,label,top10_dock_cutoff,round1_front_yield,front_yield_auc5,joint_top10_hit_auc5,joint_top10_hits5,round1_mean_dock,round1_mean_sa,final_selected_front_count,final_selected_front_mean_dock
ESR2,42,random,Random,-8.7,0.05,0.04,0.066,33,-7.751000000000001,2.6761242073111857,25,-8.895999999999999
F2,42,random,Random,-9.0,0.12,0.09,0.054000000000000006,27,-7.726000000000002,2.6827619834434895,45,-8.946666666666669
JAK2,42,random,Random,-9.3,0.07,0.08,0.074,37,-8.019,2.748845681665236,30,-9.479999999999999
KIT,42,random,Random,-9.1,0.06,0.036,0.08399999999999999,42,-7.57,2.6490255610149145,17,-8.829411764705881
PARP1,42,random,Random,-10.3,0.19,0.094,0.032,16,-8.467,2.458325153623196,36,-9.86111111111111
ESR2,43,random,Random,-8.7,0.13,0.06999999999999999,0.084,42,-7.721000000000001,2.590033369044225,41,-8.617073170731707
F2,43,random,Random,-9.0,0.15,0.10399999999999998,0.062,31,-7.723,2.7200748085774995,51,-8.909803921568628
JAK2,43,random,Random,-9.3,0.12,0.08199999999999999,0.062,31,-8.107000000000001,2.43451174795742,44,-8.986363636363636
KIT,43,random,Random,-9.1,0.05,0.052000000000000005,0.07400000000000001,37,-7.823,2.5802526288158587,28,-9.264285714285716
PARP1,43,random,Random,-10.3,0.15,0.08800000000000001,0.04,20,-8.594,2.565716649920148,31,-9.819354838709677
ESR2,44,random,Random,-8.7,0.11,0.07,0.06999999999999999,35,-7.574000000000001,2.666508713913014,27,-8.633333333333333
F2,44,random,Random,-9.0,0.11,0.086,0.054000000000000006,27,-7.769000000000001,2.678920559321433,40,-8.5475
JAK2,44,random,Random,-9.3,0.09,0.082,0.054000000000000006,27,-8.068000000000001,2.566754366451507,34,-9.382352941176471
KIT,44,random,Random,-9.1,0.06,0.048,0.076,38,-7.818,2.6182115929990046,20,-9.62
PARP1,44,random,Random,-10.3,0.13,0.074,0.036,18,-8.568000000000001,2.6068224918837557,32,-10.471875
