target,method,round,hv_mean,hv_std,n_runs
ESR2,analytic_ehvi,0,151.18458557128906,2.270965769995294,3
ESR2,analytic_ehvi,1,175.8589884440104,2.121067263107506,3
ESR2,analytic_ehvi,2,186.32992553710938,0.3928860081580422,3
ESR2,analytic_ehvi,3,188.21674601236978,1.3781679847949313,3
ESR2,analytic_ehvi,4,189.69914754231772,2.1127732609317045,3
ESR2,analytic_ehvi,5,191.10066731770834,2.6631084481287983,3
ESR2,analytic_ehvi,6,193.15119425455728,2.050081556561,3
ESR2,analytic_ehvi,7,193.58245340983072,1.4595305958664644,3
ESR2,analytic_ehvi,8,193.89268493652344,1.8652720000057237,3
ESR2,analytic_ehvi,9,194.84156799316406,2.282148989804477,3
ESR2,analytic_ehvi,10,195.13227335611978,2.0992050176490458,3
ESR2,analytic_pomhi,0,151.18458557128906,2.270965769995294,3
ESR2,analytic_pomhi,1,176.60127766927084,2.557156699519843,3
ESR2,analytic_pomhi,2,186.30814615885416,0.6391213060155095,3
ESR2,analytic_pomhi,3,187.67778523763022,1.2497460548168797,3
ESR2,analytic_pomhi,4,189.52095540364584,2.2406635163532025,3
ESR2,analytic_pomhi,5,190.86913553873697,2.4732567809866968,3
ESR2,analytic_pomhi,6,192.90933227539062,2.080533450845289,3
ESR2,analytic_pomhi,7,193.3575236002604,1.5763871815443515,3
ESR2,analytic_pomhi,8,193.71099853515625,1.9846916992024763,3
ESR2,analytic_pomhi,9,194.71117146809897,2.2441725174775016,3
ESR2,analytic_pomhi,10,194.95013936360678,2.005553337247963,3
ESR2,qpmhi_mc_bnn,0,164.57058715820312,8.177495349635295,3
ESR2,qpmhi_mc_bnn,1,178.40478006998697,1.826303869613598,3
ESR2,qpmhi_mc_bnn,2,179.2551015218099,1.723049499424792,3
ESR2,qpmhi_mc_bnn,3,180.89644368489584,0.3471009946131428,3
ESR2,qpmhi_mc_bnn,4,182.2913818359375,2.4227474712385697,3
ESR2,qpmhi_mc_bnn,5,183.2496134440104,3.6296078345317695,3
ESR2,qpmhi_mc_bnn,6,184.48926289876303,3.5196088154391663,3
ESR2,qpmhi_mc_bnn,7,184.737060546875,3.520755962079654,3
ESR2,qpmhi_mc_bnn,8,184.98727416992188,3.2330000018962064,3
ESR2,qpmhi_mc_bnn,9,185.13312784830728,3.3544403059087835,3
ESR2,qpmhi_mc_bnn,10,186.86414591471353,1.5694411451350707,3
ESR2,random,0,164.57058715820312,8.177495349635295,3
ESR2,random,1,175.07794698079428,2.1088234712610237,3
ESR2,random,2,176.47814432779947,1.3654446946660634,3
ESR2,random,3,177.4138437906901,0.1698130900188062,3
ESR2,random,4,177.5637410481771,0.1900753008578707,3
ESR2,random,5,179.20964558919272,2.0700984165627787,3
ESR2,random,6,179.46143595377603,2.03097874231673,3
ESR2,random,7,179.59658813476562,2.188939659040571,3
ESR2,random,8,179.81048583984375,2.45418416916265,3
ESR2,random,9,180.7332509358724,3.62879823984665,3
ESR2,random,10,181.12210591634116,3.217215149885825,3
F2,analytic_ehvi,0,156.84220377604166,0.7915582744576378,3
F2,analytic_ehvi,1,181.87936401367188,0.2194463601577312,3
F2,analytic_ehvi,2,187.14607747395834,1.7991651064029401,3
F2,analytic_ehvi,3,191.00487263997397,0.8127292982823892,3
F2,analytic_ehvi,4,193.66521199544272,2.223949379491378,3
F2,analytic_ehvi,5,194.7557118733724,1.4037293560497976,3
F2,analytic_ehvi,6,195.62643432617188,2.1618743721819276,3
F2,analytic_ehvi,7,196.49597676595053,1.446414143160016,3
F2,analytic_ehvi,8,197.3185831705729,1.0926001883083885,3
F2,analytic_ehvi,9,197.38385009765625,1.1178623234818268,3
F2,analytic_ehvi,10,197.4937744140625,1.1910260552432494,3
F2,analytic_pomhi,0,156.84220377604166,0.7915582744576378,3
F2,analytic_pomhi,1,181.93493143717447,0.29024009341703033,3
F2,analytic_pomhi,2,185.7632293701172,1.3749079344112938,3
F2,analytic_pomhi,3,190.3639882405599,2.0078848618850835,3
F2,analytic_pomhi,4,193.90397135416666,1.319450565914405,3
F2,analytic_pomhi,5,194.91631062825522,0.7752755654358939,3
F2,analytic_pomhi,6,195.79329427083334,1.6590296833911753,3
F2,analytic_pomhi,7,196.68251037597656,1.1857370827119982,3
F2,analytic_pomhi,8,197.50689188639322,0.66980689043687,3
F2,analytic_pomhi,9,197.58790588378906,0.6599880329013403,3
F2,analytic_pomhi,10,197.6838582356771,0.7442498254207994,3
F2,qpmhi_mc_bnn,0,174.20809936523438,5.159324313824883,3
F2,qpmhi_mc_bnn,1,183.2220458984375,2.4747440923197237,3
F2,qpmhi_mc_bnn,2,184.52285766601562,3.149845692421248,3
F2,qpmhi_mc_bnn,3,184.78174336751303,3.152954795572271,3
F2,qpmhi_mc_bnn,4,185.85006205240884,2.097780412309051,3
F2,qpmhi_mc_bnn,5,187.15489705403647,1.987571644504655,3
F2,qpmhi_mc_bnn,6,188.00686645507812,1.0621104771088354,3
F2,qpmhi_mc_bnn,7,188.0218048095703,1.0564145441938233,3
F2,qpmhi_mc_bnn,8,188.0851033528646,1.0513756021599128,3
F2,qpmhi_mc_bnn,9,188.50150044759116,0.8898188788547183,3
F2,qpmhi_mc_bnn,10,188.77498881022134,1.1664700566412316,3
F2,random,0,174.20809936523438,5.159324313824883,3
F2,random,1,176.75686645507812,4.689981270734362,3
F2,random,2,177.54116821289062,5.122860184124539,3
F2,random,3,179.05915323893228,3.7788739243224496,3
F2,random,4,180.7622324625651,2.5091913522866567,3
F2,random,5,181.80126444498697,1.8754214038220498,3
F2,random,6,182.05145772298178,1.7091482322568081,3
F2,random,7,182.6563466389974,1.1991431641069108,3
F2,random,8,183.29139709472656,1.3726501963530096,3
F2,random,9,183.5808868408203,1.208514414080094,3
F2,random,10,185.86600748697913,2.7136149394013858,3
JAK2,analytic_ehvi,0,173.11397806803384,0.43980010859953367,3
JAK2,analytic_ehvi,1,197.16801961263016,3.255809293888838,3
JAK2,analytic_ehvi,2,201.06469217936197,0.5323075487337289,3
JAK2,analytic_ehvi,3,201.89908854166666,0.23539824504251963,3
JAK2,analytic_ehvi,4,203.9374084472656,1.462793452991568,3
JAK2,analytic_ehvi,5,204.77324422200525,1.36933000853751,3
JAK2,analytic_ehvi,6,205.9214884440104,0.44877662497411364,3
JAK2,analytic_ehvi,7,207.00862630208334,1.4562850131583698,3
JAK2,analytic_ehvi,8,207.7830352783203,0.6785992316044507,3
JAK2,analytic_ehvi,9,208.30651346842447,0.6721482744032949,3
JAK2,analytic_ehvi,10,209.10400390625,0.31254476137264164,3
JAK2,analytic_pomhi,0,173.11397806803384,0.43980010859953367,3
JAK2,analytic_pomhi,1,197.1325429280599,0.9411160605396848,3
JAK2,analytic_pomhi,2,200.4689737955729,2.2493449452321297,3
JAK2,analytic_pomhi,3,201.39854431152344,2.2766603905348544,3
JAK2,analytic_pomhi,4,203.90975443522134,1.007004006759075,3
JAK2,analytic_pomhi,5,204.71320597330728,1.3716577551385736,3
JAK2,analytic_pomhi,6,205.88367207845053,0.31684703586084784,3
JAK2,analytic_pomhi,7,207.04700724283853,1.2017386658953944,3
JAK2,analytic_pomhi,8,207.759765625,0.5912563628116627,3
JAK2,analytic_pomhi,9,208.24472045898438,0.6468645955656668,3
JAK2,analytic_pomhi,10,209.02660624186197,0.29109465016269,3
JAK2,qpmhi_mc_bnn,0,185.25189208984375,4.7762931412859695,3
JAK2,qpmhi_mc_bnn,1,193.6937459309896,2.7390786931916042,3
JAK2,qpmhi_mc_bnn,2,195.0688680013021,1.6917727235494144,3
JAK2,qpmhi_mc_bnn,3,195.42260233561197,1.7935809699228398,3
JAK2,qpmhi_mc_bnn,4,195.51433308919272,1.718815174027608,3
JAK2,qpmhi_mc_bnn,5,195.72772216796875,1.544611050872826,3
JAK2,qpmhi_mc_bnn,6,195.87857564290366,1.5596863668478576,3
JAK2,qpmhi_mc_bnn,7,196.0712687174479,1.80576197685565,3
JAK2,qpmhi_mc_bnn,8,196.84810892740884,2.7595459948828855,3
JAK2,qpmhi_mc_bnn,9,197.55573527018228,2.616325320933166,3
JAK2,qpmhi_mc_bnn,10,197.6075185139974,2.575102801913147,3
JAK2,random,0,185.25189208984375,4.7762931412859695,3
JAK2,random,1,188.53845723470053,3.012932202082384,3
JAK2,random,2,190.31348673502603,2.496729288794972,3
JAK2,random,3,191.7959238688151,2.2398089618943695,3
JAK2,random,4,192.1559855143229,2.026537773198487,3
JAK2,random,5,193.59881591796875,1.6476319861779074,3
JAK2,random,6,193.67063903808594,1.6363580753442133,3
JAK2,random,7,193.7212880452474,1.6723356677882841,3
JAK2,random,8,194.04461669921875,1.6112748493432507,3
JAK2,random,9,194.2799835205078,1.5262138726115486,3
JAK2,random,10,194.79021199544272,1.53022654548672,3
KIT,analytic_ehvi,0,166.2694346110026,3.313501334481899,3
KIT,analytic_ehvi,1,189.81621805826822,2.061003558250211,3
KIT,analytic_ehvi,2,197.32952880859375,3.189166115502864,3
KIT,analytic_ehvi,3,197.86241658528647,3.1297032282920947,3
KIT,analytic_ehvi,4,199.92272440592447,2.478573917625784,3
KIT,analytic_ehvi,5,200.80219014485678,2.2557206917494455,3
KIT,analytic_ehvi,6,201.03326924641928,2.22924335058195,3
KIT,analytic_ehvi,7,202.30137634277344,2.688905093710449,3
KIT,analytic_ehvi,8,202.79712931315103,2.162577156479468,3
KIT,analytic_ehvi,9,203.13018290201822,1.9837141196823511,3
KIT,analytic_ehvi,10,205.64723205566406,3.9085302100160315,3
KIT,analytic_pomhi,0,166.2694346110026,3.313501334481899,3
KIT,analytic_pomhi,1,189.90151977539062,2.18047672594326,3
KIT,analytic_pomhi,2,197.60250854492188,1.9415079811299476,3
KIT,analytic_pomhi,3,198.3122304280599,2.1489662619886873,3
KIT,analytic_pomhi,4,200.14391072591147,1.847575879411419,3
KIT,analytic_pomhi,5,200.72488911946616,1.9708882905254745,3
KIT,analytic_pomhi,6,200.93489583333334,1.9241714568946642,3
KIT,analytic_pomhi,7,202.05420430501303,2.613250075886934,3
KIT,analytic_pomhi,8,202.5670928955078,2.0410774985886877,3
KIT,analytic_pomhi,9,202.85723876953125,1.862259645910055,3
KIT,analytic_pomhi,10,205.3619639078776,3.7951582270006927,3
KIT,qpmhi_mc_bnn,0,173.48921712239584,0.7472313773264015,3
KIT,qpmhi_mc_bnn,1,185.52564493815103,2.2267849954447354,3
KIT,qpmhi_mc_bnn,2,186.0562744140625,2.8205557224873714,3
KIT,qpmhi_mc_bnn,3,186.29534912109372,2.542381413447613,3
KIT,qpmhi_mc_bnn,4,186.55822245279947,2.3767305642728425,3
KIT,qpmhi_mc_bnn,5,187.02784220377603,2.2096018455911515,3
KIT,qpmhi_mc_bnn,6,187.23638916015625,1.9222708956760997,3
KIT,qpmhi_mc_bnn,7,187.72058614095053,1.6208481532457724,3
KIT,qpmhi_mc_bnn,8,187.83057149251303,1.7377335494788055,3
KIT,qpmhi_mc_bnn,9,187.87079874674478,1.734252444783834,3
KIT,qpmhi_mc_bnn,10,187.9398193359375,1.6769110751078222,3
KIT,random,0,173.48921712239584,0.7472313773264015,3
KIT,random,1,182.63978068033853,3.8773836718450228,3
KIT,random,2,184.6949208577474,2.3386498732706835,3
KIT,random,3,185.42414347330728,1.8414414044417813,3
KIT,random,4,186.56522115071616,2.3812463022589907,3
KIT,random,5,187.3342742919922,2.1417803246709948,3
KIT,random,6,187.33977254231772,2.137081771507294,3
KIT,random,7,187.69442749023438,1.780619888303243,3
KIT,random,8,187.97358194986978,1.6064191888822488,3
KIT,random,9,188.06665547688803,1.517315835018152,3
KIT,random,10,188.146484375,1.4434726084142289,3
PARP1,analytic_ehvi,0,182.0011749267578,3.998453852766385,3
PARP1,analytic_ehvi,1,205.2098846435547,5.012097857554943,3
PARP1,analytic_ehvi,2,216.02818298339844,2.574768202002751,3
PARP1,analytic_ehvi,3,219.4907684326172,1.4447052134879215,3
PARP1,analytic_ehvi,4,220.08976236979166,1.1681483927905394,3
PARP1,analytic_ehvi,5,220.89977518717447,1.626466367905608,3
PARP1,analytic_ehvi,6,221.29027811686197,1.6340556467571434,3
PARP1,analytic_ehvi,7,222.05968729654947,1.4306906279689346,3
PARP1,analytic_ehvi,8,222.35682678222656,1.2669370356057283,3
PARP1,analytic_ehvi,9,223.92900594075522,2.5843656991529254,3
PARP1,analytic_ehvi,10,224.6706441243489,2.751920014498231,3
PARP1,analytic_pomhi,0,182.0011749267578,3.998453852766385,3
PARP1,analytic_pomhi,1,208.21480814615884,3.5653303363668365,3
PARP1,analytic_pomhi,2,215.82659403483072,2.403482214203837,3
PARP1,analytic_pomhi,3,218.8950958251953,1.1591739554974578,3
PARP1,analytic_pomhi,4,219.62616984049478,0.974152575647804,3
