target,hv_mean,hv_std,recovery_mean,recovery_std,method,label
ESR2,181.12210591634116,3.217215149885825,0.5609549250922212,0.04073730675204522,random,Random
F2,185.86600748697913,2.7136149394013858,0.47337441338302305,0.09171397119242766,random,Random
JAK2,194.79021199544272,1.53022654548672,0.41215205037643715,0.06385565770829804,random,Random
KIT,188.146484375,1.4434726084142289,0.6024572899985431,0.06470550197168334,random,Random
PARP1,213.67447408040366,4.390119498809921,0.6223444035144898,0.18120487368225446,random,Random
ESR2,186.86414591471353,1.5694411451350707,0.742315663010266,0.15219393254575878,qpmhi_mc_bnn,MC qPMHI (BNN)
F2,188.77498881022134,1.1664700566412316,0.5948202352368354,0.044957341898462504,qpmhi_mc_bnn,MC qPMHI (BNN)
JAK2,197.60751851399735,2.5751028019131352,0.5439192107239873,0.05074117627288742,qpmhi_mc_bnn,MC qPMHI (BNN)
KIT,187.9398193359375,1.6769110751078222,0.5937433562232277,0.06983966527707357,qpmhi_mc_bnn,MC qPMHI (BNN)
PARP1,218.32011922200522,3.2506488278740355,0.7756384259729394,0.0742962172417245,qpmhi_mc_bnn,MC qPMHI (BNN)
ESR2,195.13227335611978,2.0992050176490458,0.9638706879889144,0.03604995525897766,analytic_ehvi,Analytic EHVI
F2,197.4937744140625,1.1910260552432494,0.9827581476160444,0.02286099164458744,analytic_ehvi,Analytic EHVI
JAK2,209.10400390625,0.31254476137264164,0.9767639099718485,0.030038359631558792,analytic_ehvi,Analytic EHVI
KIT,205.64723205566406,3.9085302100160315,0.9904700427294718,0.00802177370221777,analytic_ehvi,Analytic EHVI
PARP1,224.6706441243489,2.751920014498231,0.9680562669330119,0.029946385448458054,analytic_ehvi,Analytic EHVI
ESR2,194.95013936360678,2.005553337247963,0.9598108014128425,0.032857876456953546,analytic_pomhi,Analytic PoMHI
F2,197.6838582356771,0.7442498254207794,0.9871914155947353,0.009186834718598104,analytic_pomhi,Analytic PoMHI
JAK2,209.02660624186197,0.29109465016269,0.9746791389349704,0.030573042521989,analytic_pomhi,Analytic PoMHI
KIT,205.3619639078776,3.7951582270006927,0.9837609774368716,0.011969396761373319,analytic_pomhi,Analytic PoMHI
PARP1,224.2073211669922,2.974475498781112,0.9576530779583696,0.03826638188445383,analytic_pomhi,Analytic PoMHI
